"time","hp1.Pelec","hp2.Pelec","hP_with_boiler.Pelec"
176,42.0273,21.6447,26.4652
176.5,41.7999,22.2003,26.6317
177,41.5562,22.7602,26.7901
177,41.5562,22.7602,26.7901
177,41.5562,22.7602,26.7901
177.5,41.5924,22.7819,27.0257
178,41.6465,22.7819,27.2657
178,41.6465,22.7819,27.2657
178,41.6465,22.7819,27.2657
178.5,41.5989,22.8499,27.585
179,41.5448,22.9208,27.9097
179,41.5448,22.9208,27.9097
179,41.5448,22.9208,27.9097
179.5,41.4906,24.8843,26.3056
180,41.4365,27.0423,24.6916
180,41.4365,27.0423,24.6916
180,41.4365,27.0423,24.6916
180.5,41.3568,27.2158,24.5637
181,41.2756,27.2957,24.4889
181,41.2756,27.2957,24.4889
181,41.2756,27.2957,24.4889
181.5,41.2707,27.3759,24.3425
182,41.2707,27.4561,24.194
182,41.2707,27.4561,24.194
182,41.2707,27.4561,24.194
182.5,41.2452,27.4597,24.3321
183,41.2183,27.4597,24.4811
183,41.2183,27.4597,24.4811
183,41.2183,27.4597,24.4811
183.5,41.3438,27.5365,24.703
184,41.4792,27.6171,24.929
184,41.4792,27.6171,24.929
184,41.4792,27.6171,24.929
184.5,41.4873,27.6979,25.0831
185,41.4873,27.7787,25.2351
185,41.4873,27.7787,25.2351
185,41.4873,27.7787,25.2351
185.5,41.5382,27.705,25.094
186,41.5923,27.6243,24.9425
186,41.5923,27.6243,24.9425
186,41.5923,27.6243,24.9425
186.5,41.6211,27.6979,25.5985
187,41.6482,27.7787,26.2967
187,41.6482,27.7787,26.2967
187,41.6482,27.7787,26.2967
187.5,41.548,27.7824,26.3984
188,41.4398,27.7824,26.477
188,41.4398,27.7824,26.477
188,41.4398,27.7824,26.477
188.5,41.3059,27.7824,25.8034
189,41.1705,27.7824,25.113
189,41.1705,27.7824,25.113
189,41.1705,27.7824,25.113
189.5,41.2642,27.5508,25.2352
190,41.3721,27.3098,25.3877
190,41.3721,27.3098,25.3877
190,41.3721,27.3098,25.3877
190.5,41.5317,27.2228,25.2461
191,41.6942,27.1431,25.0941
191,41.6942,27.1431,25.0941
nan,nan,27.1431,25.0941
nan,nan,25.9372,24.9424
nan,nan,24.7195,24.7915
nan,nan,24.7195,24.7915
nan,nan,24.7195,24.7915
nan,nan,25.3204,24.5689
nan,nan,26.0099,24.3451
nan,nan,26.0099,24.3451
2.12217e-313,2.12217e-313,26.0099,24.3451
9.54916e-313,9.54916e-313,25.2315,24.3373
